,filename,key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,s_pii_txt.txt,ID,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
1,s_pii_txt.txt,CREATED_BY,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
2,s_pii_txt.txt,CREATED_ON,"[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]",
3,s_pii_txt.txt,UPDATED_BY,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
4,s_pii_txt.txt,UPDATED_ON,"[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]","[type: DATE_TIME, start: 0, end: 10, score: 0.85, type: DATE_TIME, start: 11, end: 16, score: 0.85]",
5,s_pii_txt.txt,DELETED,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
6,s_pii_txt.txt,DISABLED,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
7,s_pii_txt.txt,ADDEDFROMUI,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
8,s_pii_txt.txt,UNIQUEKEY,[],[],"[type: DATE_TIME, start: 0, end: 32, score: 0.85]",[],[],[],[],[],[],"[type: DATE_TIME, start: 0, end: 32, score: 0.85]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[type: LOCATION, start: 0, end: 32, score: 0.85]",[],"[type: MEDICAL_LICENSE, start: 3, end: 12, score: 1.0]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[type: PERSON, start: 0, end: 32, score: 0.85]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[type: DATE_TIME, start: 0, end: 32, score: 0.85]",[],[],[],[],[],[],
9,s_pii_txt.txt,ISCURRENT,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
